PassengerId,Survived,Pclass,Sex,Age,Cabin,Embarked,title,Family
73,0.0,2,male,21.0,0,S,Mr,0
74,0.0,3,male,26.0,0,C,Mr,1
75,1.0,3,male,32.0,0,S,Mr,0
76,0.0,3,male,25.0,1,S,Mr,0
77,0.0,3,male,24.0,0,S,Mr,0
78,0.0,3,male,24.0,0,S,Mr,1
79,1.0,2,male,0.83,0,S,Master,0
80,1.0,3,female,30.0,0,S,Miss,0
81,0.0,3,male,22.0,0,S,Mr,0
82,1.0,3,male,29.0,0,S,Mr,0
83,1.0,3,female,24.0,0,Q,Miss,0
84,0.0,1,male,28.0,0,S,Mr,0
85,1.0,2,female,17.0,0,S,Miss,0
86,1.0,3,female,33.0,0,S,Mrs,1
87,0.0,3,male,16.0,0,S,Mr,1
88,0.0,3,male,24.0,0,S,Mr,1
89,1.0,1,female,23.0,1,S,Miss,1
90,0.0,3,male,24.0,0,S,Mr,0
91,0.0,3,male,29.0,0,S,Mr,0
92,0.0,3,male,20.0,0,S,Mr,0
93,0.0,1,male,46.0,1,S,Mr,1
94,0.0,3,male,26.0,0,S,Mr,1
95,0.0,3,male,59.0,0,S,Mr,0
96,0.0,3,male,24.0,0,S,Mr,0
97,0.0,1,male,71.0,1,C,Mr,1
98,1.0,1,male,23.0,1,C,Mr,1
99,1.0,2,female,34.0,0,S,Mrs,0
100,0.0,2,male,34.0,0,S,Mr,1
101,0.0,3,female,28.0,0,S,Miss,0
102,0.0,3,male,24.0,0,S,Mr,1
103,0.0,1,male,21.0,1,S,Mr,0
104,0.0,3,male,33.0,0,S,Mr,0
105,0.0,3,male,37.0,0,S,Mr,1
106,0.0,3,male,28.0,0,S,Mr,0
107,1.0,3,female,21.0,0,S,Miss,0
108,1.0,3,male,24.0,0,S,Mr,0
109,0.0,3,male,38.0,0,S,Mr,0
110,1.0,3,female,24.0,0,Q,Miss,1
111,0.0,1,male,47.0,1,S,Mr,0
112,0.0,3,female,14.5,0,C,Miss,1
113,0.0,3,male,22.0,0,S,Mr,0
114,0.0,3,female,20.0,0,S,Miss,1
115,0.0,3,female,17.0,0,C,Miss,0
116,0.0,3,male,21.0,0,S,Mr,0
117,0.0,3,male,70.5,0,Q,Mr,0
118,0.0,2,male,29.0,0,S,Mr,1
119,0.0,1,male,24.0,1,C,Mr,1
120,0.0,3,female,2.0,0,S,Miss,1
121,0.0,2,male,21.0,0,S,Mr,1
122,0.0,3,male,24.0,0,S,Mr,0
123,0.0,2,male,32.5,0,C,Mr,1
124,1.0,2,female,32.5,1,S,Miss,1
125,0.0,1,male,54.0,1,S,Mr,0
126,1.0,3,male,12.0,0,C,Master,1
127,0.0,3,male,24.0,0,Q,Mr,0
128,1.0,3,male,24.0,0,S,Mr,1
129,1.0,3,female,24.0,1,C,Miss,1
130,0.0,3,male,45.0,0,S,Mr,0
131,0.0,3,male,33.0,0,C,Mr,0
132,0.0,3,male,20.0,0,S,Mr,0
133,0.0,3,female,47.0,0,S,Mrs,1
134,1.0,2,female,29.0,0,S,Mrs,1
135,0.0,2,male,25.0,0,S,Mr,0
136,0.0,2,male,23.0,0,C,Mr,1
137,1.0,1,female,19.0,1,S,Miss,0
138,0.0,1,male,37.0,1,S,Mr,1
139,0.0,3,male,16.0,0,S,Mr,0
140,0.0,1,male,24.0,1,C,Mr,1
141,0.0,3,female,24.0,0,C,Mrs,0
142,1.0,3,female,22.0,0,S,Miss,0
143,1.0,3,female,24.0,0,S,Mrs,1
144,0.0,3,male,19.0,0,Q,Mr,0
145,0.0,2,male,18.0,0,S,Mr,1
146,0.0,2,male,19.0,0,S,Mr,1
147,1.0,3,male,27.0,0,S,Mr,1
148,0.0,3,female,9.0,0,S,Miss,1
149,0.0,2,male,36.5,1,S,Mr,0
150,0.0,2,male,42.0,0,S,Mr,0
151,0.0,2,male,51.0,0,S,Mr,0
152,1.0,1,female,22.0,1,S,Mrs,1
153,0.0,3,male,55.5,0,S,Mr,1
154,0.0,3,male,40.5,0,S,Mr,0
155,0.0,3,male,24.0,0,S,Mr,1
156,0.0,1,male,51.0,0,C,Mr,0
157,1.0,3,female,16.0,0,Q,Miss,0
158,0.0,3,male,30.0,0,S,Mr,0
159,0.0,3,male,24.0,0,S,Mr,1
160,0.0,3,male,24.0,0,S,Master,1
161,0.0,3,male,44.0,0,S,Mr,0
162,1.0,2,female,40.0,0,S,Mrs,0
163,0.0,3,male,26.0,0,S,Mr,0
164,0.0,3,male,17.0,0,S,Mr,1
165,0.0,3,male,1.0,0,S,Master,1
166,1.0,3,male,9.0,0,S,Master,1
167,1.0,1,female,39.0,1,S,Mrs,1
168,0.0,3,female,45.0,0,S,Mrs,1
169,0.0,1,male,39.0,0,S,Mr,0
170,0.0,3,male,28.0,0,S,Mr,0
171,0.0,1,male,61.0,1,S,Mr,1
172,0.0,3,male,4.0,0,Q,Master,1
173,1.0,3,female,1.0,0,S,Miss,1
174,0.0,3,male,21.0,0,S,Mr,0
175,0.0,1,male,56.0,1,C,Mr,1
176,0.0,3,male,18.0,0,S,Mr,1
177,0.0,3,male,24.0,0,S,Master,1
178,0.0,1,female,50.0,1,C,Miss,0
179,0.0,2,male,30.0,0,S,Mr,0
180,0.0,3,male,36.0,0,S,Mr,1
181,0.0,3,female,24.0,0,S,Miss,1
182,0.0,2,male,29.0,0,C,Mr,1
183,0.0,3,male,9.0,0,S,Master,1
184,1.0,2,male,1.0,1,S,Master,1
185,1.0,3,female,4.0,0,S,Miss,0
186,0.0,1,male,39.0,1,S,Mr,0
187,1.0,3,female,24.0,0,Q,Mrs,1
188,1.0,1,male,45.0,0,S,Mr,1
189,0.0,3,male,40.0,0,Q,Mr,1
190,0.0,3,male,36.0,0,S,Mr,0
191,1.0,2,female,32.0,0,S,Mrs,0
192,0.0,2,male,19.0,0,S,Mr,0
193,1.0,3,female,19.0,0,S,Miss,1
194,1.0,2,male,3.0,1,S,Master,1
195,1.0,1,female,44.0,1,C,Mrs,0
196,1.0,1,female,58.0,1,C,Miss,0
197,0.0,3,male,24.0,0,Q,Mr,1
198,0.0,3,male,42.0,0,S,Mr,0
199,1.0,3,female,24.0,0,Q,Miss,0
200,0.0,2,female,24.0,0,S,Miss,0
201,0.0,3,male,28.0,0,S,Mr,1
202,0.0,3,male,24.0,0,S,Mr,1
203,0.0,3,male,34.0,0,S,Mr,0
204,0.0,3,male,45.5,0,C,Mr,0
205,1.0,3,male,18.0,0,S,Mr,1
206,0.0,3,female,2.0,1,S,Miss,0
207,0.0,3,male,32.0,0,S,Mr,1
208,1.0,3,male,26.0,0,C,Mr,0
209,1.0,3,female,16.0,0,Q,Miss,0
210,1.0,1,male,40.0,1,C,Mr,0
211,0.0,3,male,24.0,0,S,Mr,0
212,1.0,2,female,35.0,0,S,Miss,0
213,0.0,3,male,22.0,0,S,Mr,0
214,0.0,2,male,30.0,0,S,Mr,0
215,0.0,3,male,24.0,0,Q,Mr,1
216,1.0,1,female,31.0,1,C,Miss,1
217,1.0,3,female,27.0,0,S,Miss,0
218,0.0,2,male,42.0,0,S,Mr,1
219,1.0,1,female,32.0,1,C,Miss,0
220,0.0,2,male,30.0,0,S,Mr,0
221,1.0,3,male,16.0,0,S,Mr,0
222,0.0,2,male,27.0,0,S,Mr,0
223,0.0,3,male,51.0,0,S,Mr,0
224,0.0,3,male,24.0,0,S,Mr,0
225,1.0,1,male,38.0,1,S,Mr,1
226,0.0,3,male,22.0,0,S,Mr,0
227,1.0,2,male,19.0,0,S,Mr,0
228,0.0,3,male,20.5,0,S,Mr,0
229,0.0,2,male,18.0,0,S,Mr,1
230,0.0,3,female,24.0,0,S,Miss,1
231,1.0,1,female,35.0,1,S,Mrs,1
232,0.0,3,male,29.0,0,S,Mr,0
233,0.0,2,male,59.0,0,S,Mr,1
234,1.0,3,female,5.0,0,S,Miss,1
235,0.0,2,male,24.0,0,S,Mr,0
236,0.0,3,female,24.0,0,S,Miss,0
237,0.0,2,male,44.0,0,S,Mr,1
238,1.0,2,female,8.0,0,S,Miss,0
239,0.0,2,male,19.0,0,S,Mr,0
240,0.0,2,male,33.0,0,S,Mr,0
241,0.0,3,female,24.0,0,C,Miss,1
242,1.0,3,female,24.0,0,Q,Miss,1
243,0.0,2,male,29.0,0,S,Mr,0
244,0.0,3,male,22.0,0,S,Mr,0
245,0.0,3,male,30.0,0,C,Mr,0
246,0.0,1,male,44.0,1,Q,Mr,1
247,0.0,3,female,25.0,0,S,Miss,1
248,1.0,2,female,24.0,0,S,Mrs,1
249,1.0,1,male,37.0,1,S,Mr,1
250,0.0,2,male,54.0,0,S,Mr,1
251,0.0,3,male,24.0,0,S,Mr,1
252,0.0,3,female,29.0,1,S,Mrs,1
253,0.0,1,male,62.0,1,S,Mr,0
254,0.0,3,male,30.0,0,S,Mr,1
255,0.0,3,female,41.0,0,S,Mrs,1
256,1.0,3,female,29.0,0,C,Mrs,0
257,1.0,1,female,39.0,0,C,Mrs,0
258,1.0,1,female,30.0,1,S,Miss,0
259,1.0,1,female,35.0,0,C,Miss,1
260,1.0,2,female,50.0,0,S,Mrs,0
261,0.0,3,male,24.0,0,Q,Mr,1
262,1.0,3,male,3.0,0,S,Master,1
263,0.0,1,male,52.0,1,S,Mr,1
264,0.0,1,male,40.0,1,S,Mr,0
265,0.0,3,female,24.0,0,Q,Miss,0
266,0.0,2,male,36.0,0,S,Mr,1
267,0.0,3,male,16.0,0,S,Mr,1
268,1.0,3,male,25.0,0,S,Mr,1
269,1.0,1,female,58.0,1,S,Mrs,0
270,1.0,1,female,35.0,1,S,Miss,0
271,0.0,1,male,39.0,0,S,Mr,0
272,1.0,3,male,25.0,0,S,Mr,1
273,1.0,2,female,41.0,0,S,Mrs,1
274,0.0,1,male,37.0,1,C,Mr,0
275,1.0,3,female,24.0,0,Q,Miss,0
276,1.0,1,female,63.0,1,S,Miss,1
277,0.0,3,female,45.0,0,S,Miss,0
278,0.0,2,male,29.0,0,S,Mr,1
279,0.0,3,male,7.0,0,Q,Master,1
280,1.0,3,female,35.0,0,S,Mrs,1
281,0.0,3,male,65.0,0,Q,Mr,0
282,0.0,3,male,28.0,0,S,Mr,0
283,0.0,3,male,16.0,0,S,Mr,0
284,1.0,3,male,19.0,0,S,Mr,0
285,0.0,1,male,39.0,1,S,Mr,0
286,0.0,3,male,33.0,0,C,Mr,0
287,1.0,3,male,30.0,0,S,Mr,0
288,0.0,3,male,22.0,0,S,Mr,0
289,1.0,2,male,42.0,0,S,Mr,0
290,1.0,3,female,22.0,0,Q,Miss,0
291,1.0,1,female,26.0,0,S,Miss,0
292,1.0,1,female,19.0,1,C,Mrs,1
293,0.0,2,male,36.0,1,C,Mr,0
294,0.0,3,female,24.0,0,S,Miss,0
295,0.0,3,male,24.0,0,S,Mr,0
296,0.0,1,male,39.0,0,C,Mr,0
297,0.0,3,male,23.5,0,C,Mr,1
298,0.0,1,female,2.0,1,S,Miss,1
299,1.0,1,male,39.0,1,S,Mr,1
300,1.0,1,female,50.0,1,C,Mrs,0
301,1.0,3,female,24.0,0,Q,Miss,0
302,1.0,3,male,24.0,0,Q,Mr,1
303,0.0,3,male,19.0,0,S,Mr,0
304,1.0,2,female,29.0,1,Q,Miss,0
305,0.0,3,male,24.0,0,S,Mr,1
306,1.0,1,male,0.92,1,S,Master,1
307,1.0,1,female,39.0,0,C,Miss,0
308,1.0,1,female,17.0,1,C,Mrs,1
309,0.0,2,male,30.0,0,C,Mr,1
310,1.0,1,female,30.0,1,C,Miss,0
311,1.0,1,female,24.0,1,C,Miss,1
312,1.0,1,female,18.0,1,C,Miss,1
313,0.0,2,female,26.0,0,S,Mrs,1
314,0.0,3,male,28.0,0,S,Mr,1
315,0.0,2,male,43.0,0,S,Mr,1
316,1.0,3,female,26.0,0,S,Miss,0
317,1.0,2,female,24.0,0,S,Mrs,1
318,0.0,2,male,54.0,0,S,Mr,1
319,1.0,1,female,31.0,1,S,Miss,1
320,1.0,1,female,40.0,1,C,Mrs,1
321,0.0,3,male,22.0,0,S,Mr,0
322,0.0,3,male,27.0,0,S,Mr,0
323,1.0,2,female,30.0,0,Q,Miss,1
324,1.0,2,female,22.0,0,S,Mrs,1
325,0.0,3,male,24.0,0,S,Mr,1
326,1.0,1,female,36.0,1,C,Miss,0
327,0.0,3,male,61.0,0,S,Mr,0
328,1.0,2,female,36.0,1,S,Mrs,1
329,1.0,3,female,31.0,0,S,Mrs,1
330,1.0,1,female,16.0,1,C,Miss,0
331,1.0,3,female,24.0,0,Q,Miss,1
332,0.0,1,male,45.5,1,S,Mr,1
333,0.0,1,male,38.0,1,S,Mr,0
334,0.0,3,male,16.0,0,S,Mr,1
335,1.0,1,female,39.0,0,S,Mrs,1
336,0.0,3,male,24.0,0,S,Mr,0
337,0.0,1,male,29.0,1,S,Mr,1
338,1.0,1,female,41.0,1,C,Miss,0
339,1.0,3,male,45.0,0,S,Mr,0
340,0.0,1,male,45.0,1,S,Mr,1
341,1.0,2,male,2.0,1,S,Master,1
342,1.0,1,female,24.0,1,S,Miss,1
343,0.0,2,male,28.0,0,S,Mr,0
344,0.0,2,male,25.0,0,S,Mr,0
345,0.0,2,male,36.0,0,S,Mr,0
346,1.0,2,female,24.0,1,S,Miss,0
347,1.0,2,female,40.0,0,S,Miss,0
348,1.0,3,female,24.0,0,S,Mrs,1
349,1.0,3,male,3.0,0,S,Master,1
350,0.0,3,male,42.0,0,S,Mr,0
351,0.0,3,male,23.0,0,S,Mr,0
352,0.0,1,male,39.0,1,S,Mr,1
353,0.0,3,male,15.0,0,C,Mr,1
354,0.0,3,male,25.0,0,S,Mr,1
355,0.0,3,male,24.0,0,C,Mr,0
356,0.0,3,male,28.0,0,S,Mr,1
357,1.0,1,female,22.0,1,S,Miss,0
358,0.0,2,female,38.0,0,S,Miss,0
359,1.0,3,female,24.0,0,Q,Miss,0
360,1.0,3,female,24.0,0,Q,Miss,1
361,0.0,3,male,40.0,0,S,Mr,1
362,0.0,2,male,29.0,0,C,Mr,1
363,0.0,3,female,45.0,0,C,Mrs,0
364,0.0,3,male,35.0,0,S,Mr,0
365,0.0,3,male,24.0,0,Q,Mr,1
366,0.0,3,male,30.0,0,S,Mr,0
367,1.0,1,female,60.0,1,C,Mrs,1
368,1.0,3,female,24.0,0,C,Mrs,0
369,1.0,3,female,24.0,0,Q,Miss,0
370,1.0,1,female,24.0,1,C,Miss,0
371,1.0,1,male,25.0,1,C,Mr,1
372,0.0,3,male,18.0,0,S,Mr,1
373,0.0,3,male,19.0,0,S,Mr,0
374,0.0,1,male,22.0,0,C,Mr,1
375,0.0,3,female,3.0,0,S,Miss,1
376,1.0,1,female,39.0,0,C,Mrs,1
377,1.0,3,female,22.0,0,S,Miss,1
378,0.0,1,male,27.0,1,C,Mr,0
379,0.0,3,male,20.0,0,C,Mr,0
380,0.0,3,male,19.0,0,S,Mr,0
381,1.0,1,female,42.0,0,C,Miss,1
382,1.0,3,female,1.0,0,C,Miss,0
383,0.0,3,male,32.0,0,S,Mr,0
384,1.0,1,female,35.0,0,S,Mrs,1
385,0.0,3,male,24.0,0,S,Mr,0
386,0.0,2,male,18.0,0,S,Mr,1
387,0.0,3,male,1.0,0,S,Master,1
388,1.0,2,female,36.0,0,S,Miss,0
389,0.0,3,male,24.0,0,Q,Mr,0
390,1.0,2,female,17.0,0,C,Miss,1
391,1.0,1,male,36.0,1,S,Mr,1
392,1.0,3,male,21.0,0,S,Mr,0
393,0.0,3,male,28.0,0,S,Mr,1
394,1.0,1,female,23.0,1,C,Miss,1
395,1.0,3,female,24.0,1,S,Mrs,0
396,0.0,3,male,22.0,0,S,Mr,0
397,0.0,3,female,31.0,0,S,Miss,0
398,0.0,2,male,46.0,0,S,Mr,0
399,0.0,2,male,23.0,0,S,Mr,0
400,1.0,2,female,28.0,0,S,Mrs,0
401,1.0,3,male,39.0,0,S,Mr,0
402,0.0,3,male,26.0,0,S,Mr,0
403,0.0,3,female,21.0,0,S,Miss,1
404,0.0,3,male,28.0,0,S,Mr,1
405,0.0,3,female,20.0,0,S,Miss,0
406,0.0,2,male,34.0,0,S,Mr,1
407,0.0,3,male,51.0,0,S,Mr,1
408,1.0,2,male,3.0,0,S,Master,1
409,0.0,3,male,21.0,0,S,Mr,1
410,0.0,3,female,24.0,0,S,Miss,1
411,0.0,3,male,24.0,0,S,Mr,0
412,0.0,3,male,24.0,0,Q,Mr,0
413,1.0,1,female,33.0,1,Q,Miss,1
414,0.0,2,male,29.0,0,S,Mr,0
415,1.0,3,male,44.0,0,S,Mr,0
416,0.0,3,female,24.0,0,S,Mrs,1
417,1.0,2,female,34.0,0,S,Mrs,1
418,1.0,2,female,18.0,0,S,Miss,0
419,0.0,2,male,30.0,0,S,Mr,1
420,0.0,3,female,10.0,0,S,Miss,0
421,0.0,3,male,24.0,0,C,Mr,0
422,0.0,3,male,21.0,0,Q,Mr,0
423,0.0,3,male,29.0,0,S,Mr,1
424,0.0,3,female,28.0,0,S,Mrs,1
425,0.0,3,male,18.0,0,S,Mr,1
426,0.0,3,male,24.0,0,S,Mr,0
427,1.0,2,female,28.0,0,S,Mrs,1
428,1.0,2,female,19.0,0,S,Miss,0
429,0.0,3,male,24.0,0,Q,Mr,0
430,1.0,3,male,32.0,1,S,Mr,0
431,1.0,1,male,28.0,1,S,Mr,0
432,1.0,3,female,24.0,0,S,Mrs,1
433,1.0,2,female,42.0,0,S,Mrs,1
434,0.0,3,male,17.0,0,S,Mr,0
435,0.0,1,male,50.0,1,S,Mr,1
436,1.0,1,female,14.0,1,S,Miss,1
437,0.0,3,female,21.0,0,S,Miss,1
438,1.0,2,female,24.0,0,S,Mrs,1
439,0.0,1,male,64.0,1,S,Mr,1
440,0.0,2,male,31.0,0,S,Mr,1
441,1.0,2,female,45.0,0,S,Mrs,1
442,0.0,3,male,20.0,0,S,Mr,0
443,0.0,3,male,25.0,0,S,Mr,1
444,1.0,2,female,28.0,0,S,Miss,0
445,1.0,3,male,24.0,0,S,Mr,1
446,1.0,1,male,4.0,1,S,Master,1
447,1.0,2,female,13.0,0,S,Miss,0
448,1.0,1,male,34.0,0,S,Mr,1
449,1.0,3,female,5.0,0,C,Miss,1
450,1.0,1,male,52.0,1,S,Mr,1
451,0.0,2,male,36.0,0,S,Mr,1
452,0.0,3,male,24.0,0,S,Mr,1
453,0.0,1,male,30.0,1,C,Mr,0
454,1.0,1,male,49.0,1,C,Mr,1
455,0.0,3,male,24.0,0,S,Mr,0
456,1.0,3,male,29.0,0,C,Mr,0
457,0.0,1,male,65.0,1,S,Mr,0
458,1.0,1,female,39.0,1,S,Mrs,1
459,1.0,2,female,50.0,0,S,Miss,0
460,0.0,3,male,24.0,0,Q,Mr,0
461,1.0,1,male,48.0,1,S,Mr,0
462,0.0,3,male,34.0,0,S,Mr,0
463,0.0,1,male,47.0,1,S,Mr,0
464,0.0,2,male,48.0,0,S,Mr,0
465,0.0,3,male,24.0,0,S,Mr,0
466,0.0,3,male,38.0,0,S,Mr,0
467,0.0,2,male,29.0,0,S,Mr,0
468,0.0,1,male,56.0,0,S,Mr,0
469,0.0,3,male,24.0,0,Q,Mr,1
470,1.0,3,female,0.75,0,C,Miss,1
471,0.0,3,male,24.0,0,S,Mr,0
472,0.0,3,male,38.0,0,S,Mr,1
473,1.0,2,female,33.0,0,S,Mrs,1
474,1.0,2,female,23.0,1,C,Mrs,0
475,0.0,3,female,22.0,0,S,Miss,0
476,0.0,1,male,39.0,1,S,Mr,0
477,0.0,2,male,34.0,0,S,Mr,1
478,0.0,3,male,29.0,0,S,Mr,1
479,0.0,3,male,22.0,0,S,Mr,1
480,1.0,3,female,2.0,0,S,Miss,1
481,0.0,3,male,9.0,0,S,Master,1
482,0.0,2,male,29.0,0,S,Mr,0
483,0.0,3,male,50.0,0,S,Mr,0
484,1.0,3,female,63.0,0,S,Mrs,0
485,1.0,1,male,25.0,1,C,Mr,1
486,0.0,3,female,24.0,0,S,Miss,1
487,1.0,1,female,35.0,1,S,Mrs,1
488,0.0,1,male,58.0,1,C,Mr,0
489,0.0,3,male,30.0,0,S,Mr,1
490,1.0,3,male,9.0,0,S,Master,1
491,0.0,3,male,24.0,0,S,Mr,1
492,0.0,3,male,21.0,0,S,Mr,0
493,0.0,1,male,55.0,1,S,Mr,0
494,0.0,1,male,71.0,0,C,Mr,0
495,0.0,3,male,21.0,0,S,Mr,0
496,0.0,3,male,24.0,0,C,Mr,0
497,1.0,1,female,54.0,1,C,Miss,1
498,0.0,3,male,24.0,0,S,Mr,1
499,0.0,1,female,25.0,1,S,Mrs,1
500,0.0,3,male,24.0,0,S,Mr,0
501,0.0,3,male,17.0,0,S,Mr,0
502,0.0,3,female,21.0,0,Q,Miss,0
503,0.0,3,female,24.0,0,Q,Miss,0
504,0.0,3,female,37.0,0,S,Miss,0
505,1.0,1,female,16.0,1,S,Miss,0
506,0.0,1,male,18.0,1,C,Mr,1
507,1.0,2,female,33.0,0,S,Mrs,0
508,1.0,1,male,39.0,0,S,Mr,0
509,0.0,3,male,28.0,0,S,Mr,0
510,1.0,3,male,26.0,0,S,Mr,0
511,1.0,3,male,29.0,0,Q,Mr,0
512,0.0,3,male,24.0,0,S,Mr,0
513,1.0,1,male,36.0,1,S,Mr,0
514,1.0,1,female,54.0,0,C,Mrs,1
515,0.0,3,male,24.0,0,S,Mr,0
516,0.0,1,male,47.0,1,S,Mr,0
517,1.0,2,female,34.0,1,S,Mrs,0
518,0.0,3,male,24.0,0,Q,Mr,0
519,1.0,2,female,36.0,0,S,Mrs,1
520,0.0,3,male,32.0,0,S,Mr,0
521,1.0,1,female,30.0,1,S,Miss,0
522,0.0,3,male,22.0,0,S,Mr,0
523,0.0,3,male,24.0,0,C,Mr,1
524,1.0,1,female,44.0,1,C,Mrs,0
525,0.0,3,male,24.0,0,C,Mr,0
526,0.0,3,male,40.5,0,Q,Mr,0
527,1.0,2,female,50.0,0,S,Miss,0
528,0.0,1,male,39.0,1,S,Mr,0
529,0.0,3,male,39.0,0,S,Mr,1
530,0.0,2,male,23.0,0,S,Mr,1
531,1.0,2,female,2.0,0,S,Miss,1
532,0.0,3,male,24.0,0,C,Mr,1
533,0.0,3,male,17.0,0,C,Mr,1
534,1.0,3,female,24.0,0,C,Mrs,0
535,0.0,3,female,30.0,0,S,Miss,1
536,1.0,2,female,7.0,0,S,Miss,0
537,0.0,1,male,45.0,1,S,Mr,0
538,1.0,1,female,30.0,0,C,Miss,0
539,0.0,3,male,24.0,0,S,Mr,1
540,1.0,1,female,22.0,1,C,Miss,1
541,1.0,1,female,36.0,1,S,Miss,1
542,0.0,3,female,9.0,0,S,Miss,1
543,0.0,3,female,11.0,0,S,Miss,1
544,1.0,2,male,32.0,0,S,Mr,1
545,0.0,1,male,50.0,1,C,Mr,1
546,0.0,1,male,64.0,0,S,Mr,0
547,1.0,2,female,19.0,0,S,Mrs,1
548,1.0,2,male,29.0,0,C,Mr,1
549,0.0,3,male,33.0,0,S,Mr,1
550,1.0,2,male,8.0,0,S,Master,1
551,1.0,1,male,17.0,1,C,Mr,0
552,0.0,2,male,27.0,0,S,Mr,0
553,0.0,3,male,24.0,0,Q,Mr,0
554,1.0,3,male,22.0,0,C,Mr,0
555,1.0,3,female,22.0,0,S,Miss,0
556,0.0,1,male,62.0,0,S,Mr,0
557,1.0,1,female,48.0,1,C,Mrs,1
558,0.0,1,male,39.0,0,C,Mr,1
559,1.0,1,female,39.0,1,S,Mrs,1
560,1.0,3,female,36.0,0,S,Mrs,1
561,0.0,3,male,24.0,0,Q,Mr,0
562,0.0,3,male,40.0,0,S,Mr,0
563,0.0,2,male,28.0,0,S,Mr,0
564,0.0,3,male,24.0,0,S,Mr,0
565,0.0,3,female,24.0,0,S,Miss,0
566,0.0,3,male,24.0,0,S,Mr,1
567,0.0,3,male,19.0,0,S,Mr,1
568,0.0,3,female,29.0,0,S,Mrs,0
569,0.0,3,male,24.0,0,C,Mr,0
570,1.0,3,male,32.0,0,S,Mr,0
571,1.0,2,male,62.0,0,S,Mr,0
572,1.0,1,female,53.0,1,S,Mrs,1
573,1.0,1,male,36.0,1,S,Mr,0
574,1.0,3,female,24.0,0,Q,Miss,0
575,0.0,3,male,16.0,0,S,Mr,0
